fname_std,bni_std,N
ANTONIUS,0.493912646492571,84
ANTONS,0,15
ANTOON,0,14
ANTOUN,0,19
ANTRANIG,0,22
ANTRANIK,0,62
ANTRON,1,18
ANTS,0,18
ANTTI,0,14
ANTUAN,0.970148289082709,11
ANTULIO,0.357135209581301,28
ANTUN,0,13
ANTWAIN,1,15
ANTWAN,1,82
ANTWON,1,42
ANUEL,0.419346727980343,11
ANWAR,0.570882680646204,45
ANZO,0.61610586575349,11
APARICIO,0.445197252092511,20
APOLINAR,0.111872766144631,175
APOLINARIO,0,11
APOLLO,0.800487291111422,14
APOLONIO,0.19999467052722,269
APOSTOLOS,0,91
APRIL,0.878374819882183,12
AQUILES,0.179553104043205,34
AQUILINO,0.408796981106076,103
AQUILLA,0.749993754409667,92
ARA,0.134016752729112,143
ARACELIO,0.156245608656148,40
ARAKEL,0,20
ARAM,0.0250570120148959,282
ARAMIS,0.500762088659779,41
ARARAT,0,11
ARBA,0.130780921665541,49
ARBE,0.762457310265672,13
ARBEN,0.783126872909466,15
ARBERY,0.896548634746419,11
ARBIE,0.783126872909466,156
ARBIN,0.793887679383627,23
ARBLE,0.419346727980343,11
ARBON,0.706514832391203,20
ARBOR,0.590901038785712,12
ARBRA,0.869561439325394,25
ARBY,0.531590218876433,81
ARCADE,0,24
ARCADIO,0.386321969305082,449
ARCANGEL,0.340306658160058,15
ARCANGELO,0,97
ARCELIO,0.485066306905634,26
ARCENIO,0.452165661862249,39
ARCHER,0.620221161707578,244
ARCHESTER,0.970148289082709,11
ARCHIBALD,0.653244441290449,13273
ARCHIEBALD,0.720614136432004,19
ARCHILLE,0.530171148296253,37
ARCIE,0.454537195994886,29
ARCILIO,0.762457310265672,13
ARCO,0.396333493971774,12
ARCY,0.375714730462533,13
ARD,0.52630748514952,15
ARDALE,0,15
ARDASHES,0,15
ARDATH,0,21
ARDEAN,0.335044125333742,46
ARDEE,0.783126872909466,24
ARDEEN,0.643556715548376,15
ARDEL,0.660369887817418,33
ARDELL,0.67058954692872,573
ARDEN,0.110581826296758,1359
ARDESHIR,0,12
ARDETH,0,14
ARDIE,0.861534487997825,121
ARDIN,0,23
ARDINE,0.840060144966669,19
ARDIS,0.884984069248553,221
ARDITH,0.238964530493981,48
ARDMORE,0.706514832391203,12
ARDO,0.407515468471999,23
ARDON,0.251444407405583,45
ARDREY,0.61610586575349,11
ARDUINO,0,32
ARDY,0.560336621481903,20
AREF,0,13
AREL,0,31
ARELIOUS,0.966541673753409,30
AREN,0.357135209581301,14
AREND,0,50
AREY,0.804948330610183,11
ARGEL,0.445197252092511,60
ARGELIO,0.366189452095726,54
ARGENE,0.474444249107363,18
ARGENTINO,0,15
ARGIE,0.600107413262564,93
ARGIL,0,55
ARGIMIRO,0.590901038785712,12
ARGLE,0.143801208534927,44
ARGO,0.71652866744171,27
ARGUS,0,92
ARGUST,0.590901038785712,12
ARGUSTA,0.990853356657772,16
ARGUSTER,0.992366159879324,19
ARGUSTUS,0.963610691853161,14
ARGYL,0,21
ARGYLE,0.101401020995045,65
ARGYRIOS,0,20
ARHTUR,0.600731382162167,58
ARI,0.163312031407928,38
ARIC,0.539410811500138,43
ARIE,0.477932865300408,320
ARIEH,0,13
ARIEL,0.308342042231954,258
ARIF,0.275417081428787,20
ARILD,0,22
ARIN,0.663257866581947,14
ARIO,0.265299629845152,21
ARION,0.79754063384647,34
ARIS,0.649065166014984,103
ARISTEDES,0.310997647139251,17
ARISTEO,0,81
ARISTIDE,0.486055581196047,95
ARISTIDES,0.165179650683375,225
ARISTIDIS,0,36
ARISTILE,0.902774854158371,16
ARISTO,0.590901038785712,12
ARISTOTELI,0,27
ARISTOTLE,0.385748783944129,50
ARIZONA,0.938825614604503,25
ARKADI,0,17
ARKADIUSZ,0,11
ARKADIY,0,114
ARKADY,0,143
ARKELL,0.419346727980343,11
ARKIE,0.454537195994886,29
ARKLEY,0.730330518460101,11
ARL,0,47
ARLA,0.21738563737207,27
ARLAN,0.0884808419337769,377
ARLAND,0.207795028164243,428
ARLANDA,0.939931378535192,19
ARLANDER,0.990030133700407,59
ARLANDERS,1,12
ARLANDO,0.893906467760737,13
ARLANDUS,1,12
ARLE,0.385748783944129,25
ARLEE,0.883660493654497,119
ARLEIGH,0.157954257351945,158
ARLEN,0.148497333588222,721
ARLENE,0.29815816721813,18
