fname,bni,name_freq
ADAMS,0.761425834406131,13
ADAMSON,0,1
ADAN,0,96
ADAO,0,2
ADARIAN,0,1
ADARK,1,1
ADAS,0,2
ADAUTO,0,1
ADBELLAH,0,1
ADBERT,0,1
ADD,0.902994953017143,15
ADDALORE,0,1
ADDE,,1
ADDEN,0.914078734338459,2
ADDES,0,1
ADDI,0.914078734338459,2
ADDIE,0.814146584388871,48
ADDIER,0,1
ADDIETH,0,1
ADDIN,0,1
ADDINGTON,0,3
ADDIS,0.85300283189722,34
ADDISON,0.581176138430325,261
ADDISON LE,0,1
ADDIST,1,1
ADDITOUS,1,1
ADDLEE,0.914078734338459,2
ADDLIN,0,1
ADDLY,1,1
ADDO,0,1
ADDOLORAT,0,1
ADDOLORATO,0,2
ADDREAN,0,1
ADDREN,1,1
ADDRICK,1,1
ADDSON,0,1
ADDY,0,1
ADE,0.639391919466739,7
ADEA,0,1
ADEE,0,5
ADEEB,0,8
ADEK,0,2
ADEL,0.861223442753617,21
ADELADIO,0,1
ADELAIDE,0,1
ADELAIDO,0,27
ADELARD,0,130
ADELARDO,0,2
ADELARO,0,1
ADELAUDO,0,1
ADELBERT,0.107490739645614,271
ADELBERTO,0,3
ADELCHI,0.639391919466739,7
ADELCHO,0,1
ADELE,0,2
ADELERMO,0,1
ADELFIO,0,1
ADELFO,0,3
ADELIAD,0,1
ADELICIO,0,1
ADELIN,0,1
ADELINDO,0,1
ADELINE,0,2
ADELINO,0.194707946572415,50
ADELIO,0,3
ADELIS,,1
ADELL,0.981941268093129,55
ADELLON,0,1
ADELM,0,1
ADELMA,0,2
ADELMAR,0,2
ADELMER,0,1
ADELMIRO,0,1
ADELMO,0,19
ADELMORE,0,1
ADELNANDO,0,1
ADELNO,0,1
ADELO,0,6
ADELOR,0,6
ADELOR HUB,0,1
ADELORD,0,4
ADELORE,0,7
ADELPHA,0,1
ADELPHIES,0,1
ADELPHOS,0,1
ADELRICH,0,1
ADELSON,0,1
ADELYN,0,1
ADEM,0,2
ADEMAR,0,2
ADEMORD,0,1
ADEN,0.394431389672789,52
ADENAGO,0,1
ADEODAT,0,1
ADEODATO,,1
ADEOLE,0.914078734338459,2
ADEOLPH,0,1
ADERITO,0,2
ADEROLFE,0,1
ADERON,0,1
ADETO,,1
ADEUS,0,1
ADGATE,0,1
ADGENORD,0,1
ADGER,0.629927053399967,29
ADGIA,1,1
ADGIE,1,2
ADHADJAN,0,1
ADHEMAR,0,3
ADHIN,,1
ADI,0,1
ADIB,0,5
ADICUS,0,1
ADIE,0.973845930714404,9
ADIECO,0,1
ADIEL,0,4
ADIJAH,1,1
ADIK,0,1
ADILARD,0,1
ADILINO,1,1
ADILORDE,0,1
ADIN,0,22
ADIS,0.680277514240081,6
ADISLADO,0,1
ADISON,0.726749121361167,5
ADITBHAI,,1
ADIUS,0,2
ADIX,0,1
ADJABUS,1,1
ADJAR,0,1
ADJO,0,1
ADJOE,0,1
ADJORAN,0,1
ADJUEL,0,1
ADJUST,0,1
ADJUTOR,0,3
ADKIN,0,1
ADKINS,0.841754152205137,3
ADLA,0,1
ADLAI,0,5
ADLAIN,0,1
ADLAN,0,1
ADLAR,0,3
ADLE,0,1
ADLER,0,7
ADLES,0,1
ADLESS,0,1
ADLEY,0.726749121361167,15
ADLEY PAUL,0,1
ADLIE,0,2
ADLIES,0,1
ADLIN,0,1
ADLINO,0,2
ADLOPH,0,2
ADLOR,0,3
ADLORE,0,5
ADLOUIS,1,1
ADLOUR,0,1
ADLY,0,7
ADMAL,0,3
ADMETTE,1,1
ADMIR,0,1
ADMIRAL,0.856819499777296,25
ADMIRE,1,1
ADMOISE,0,1
ADMOND,0,2
ADMUST,1,1
ADMYRLD,0,1
ADNA,0,8
ADNAH,1,1
ADNAN,0,4
ADNELL,0,3
ADNER,0.841754152205137,3
ADNEY,0.726749121361167,5
ADNIRUM,0,1
ADO,0.825426610484075,13
ADOCK,1,1
ADOFFIE,1,1
ADOL,0.780035465436136,4
ADOLF,0.0291756368159383,360
ADOLFAS,0,3
ADOLFAST,1,1
ADOLFE,0,1
ADOLFH,0,1
ADOLFO,0.0899247003535157,465
ADOLFOS,0,1
ADOLFS,0,10
ADOLIO,0,5
ADOLIO GAR,0,1
ADOLP,0,1
ADOLPH,0.251447407026908,2726
ADOLPH EDW,0,1
ADOLPH JOH,0,1
ADOLPH OTT,0,1
ADOLPH T,0,1
ADOLPH WM,0,1
ADOLPHA,1,1
ADOLPHE,0.350084422225646,84
ADOLPHERS,1,1
ADOLPHEUS,0,1
ADOLPHIA,1,1
ADOLPHIN,1,1
ADOLPHIO,0,1
ADOLPHO,0,9
ADOLPHUS,0.922889381418131,222
ADOLPHUS W,0,1
ADOLPHVS,1,1
ADOLPN,0,1
ADOLV,0,1
ADOM,0,1
ADOMAS,0,6
ADON,0.726749121361167,6
ADONA,0,1
ADONAIDO,,1
ADONAIS,0,2
ADONAY,,1
ADONE,0,2
ADONELIO,0,1
ADONIA,0,1
ADONIAS,0,1
ADONIJAH,1,1
ADONIRAM,0,3
ADONIS,0.869265689400779,15
ADONNIS,0,1
